Ticker,Added,Result,Offset,Tier,Setup,Score,Price,BaseLen,BoxW,Touches,LPSLen,Reason
DIBS,2026-04-14,HIT,-4,S,LPS,93.8,5.49,14,0.056,14,2,
ALB,2026-04-13,HIT,-3,S,LPS,105.3,173.64,40,0.166,21,3,
DLX,2026-04-13,HIT,-6,S,LPS,105.6,27.54,21,0.055,13,2,
CAPR,2026-04-13,MISS,,,,,,,,,,no consolidation base found
NKTR,2026-04-13,HIT,-3,S,LPS,102.8,77.5,21,0.118,18,2,
SILC,2026-04-13,MISS,,,,,,,,,,Vol50 43220 < 50000
ORMP,2026-04-13,HIT,-4,S,LPS,105.7,3.52,31,0.157,15,4,
MSGS,2026-04-08,HIT,1,S,LPS,98.7,322.2,22,0.043,24,2,
DNTH,2026-04-08,NO_DATA,,,,,,,,,,
LPTH,2026-04-08,HIT,0,S,LPS,94.2,11.58,38,0.202,28,2,
SKYT,2026-04-08,MISS,,,,,,,,,,below SMA50 (28.78 < 28.86)
CTRI,2026-04-07,HIT,-5,S,LPS,86.9,29.83,41,0.193,13,2,
KEYS,2026-04-07,HIT,-6,A,LPS,78.8,289.84,17,0.059,16,2,
PKE,2026-04-06,HIT,-7,S,LPS,92.4,26.72,24,0.11,15,5,
BRZU,2026-03-31,HIT,2,S,LPS,94.3,111.49,23,0.115,17,5,
RRBI,2026-03-31,MISS,,,,,,,,,,"no LPS (spread_decline=12, vol_contraction=11)"
DSGN,2026-03-31,HIT,-1,S,LPS,101.7,10.37,35,0.069,44,3,
PGC,2026-03-30,HIT,-4,S,LPS,92.8,34.83,29,0.062,24,2,
EQIX,2026-03-30,HIT,0,S,LPS,87.3,964.05,23,0.038,17,3,
EWTX,2026-03-24,HIT,2,S,LPS,93.5,31.65,27,0.107,19,2,
NBR,2026-03-23,MISS,,,,,,,,,,LPS already above trigger
NGL,2026-03-20,HIT,-1,S,REBOUND,107.4,11.65,28,0.093,14,3,
NVMI,2026-03-18,HIT,-1,S,LPS,90.1,445.52,18,0.081,13,2,
NE,2026-03-13,MISS,,,,,,,,,,no consolidation base found
WDC,2026-03-13,HIT,3,S,LPS,95.5,286.21,29,0.166,20,4,
BWAY,2026-03-11,HIT,-1,S,LPS,90.6,12.71,32,0.12,24,4,
KALV,2026-03-09,HIT,-7,S,LPS,92.8,16.06,24,0.106,19,4,
SNDX,2026-03-06,MISS,,,,,,,,,,"no LPS (spread_quantile=15, drop_pct(0.106)=6)"
BP,2026-03-05,HIT,-6,A,LPS,78.9,38.86,21,0.043,15,4,
VIST,2026-03-05,HIT,-6,B,LPS,62.6,57.74,16,0.059,13,3,
MEOH,2026-02-27,HIT,-1,S,LPS,90.1,48.28,23,0.062,20,2,
VLO,2026-02-26,MISS,,,,,,,,,,no consolidation base found
PKE,2026-02-24,HIT,-6,S,LPS,85.3,24.16,15,0.095,9,2,
DRTS,2026-02-24,HIT,-4,S,LPS,89.3,7.32,16,0.132,15,2,
TERN,2026-02-23,HIT,-3,S,LPS,102.3,39.23,22,0.129,15,3,
FOSL,2026-02-18,HIT,-1,S,LPS,105.4,3.83,40,0.122,43,2,
SHEL,2026-02-18,MISS,,,,,,,,,,"no LPS (drop_pct(0.011)=6, drop_pct(0.012)=6)"
JAZZ,2026-02-18,HIT,0,S,LPS,94.0,168.72,42,0.046,39,2,
CGON,2026-02-17,HIT,-4,S,REBOUND,95.5,51.5,25,0.113,19,3,
SYRE,2026-02-12,HIT,0,S,LPS,89.0,34.84,21,0.082,27,2,
GXO,2026-02-11,MISS,,,,,,,,,,no consolidation base found
ST,2026-02-11,MISS,,,,,,,,,,"no LPS (spread_quantile=17, spread_decline=7)"
TRS,2026-02-06,MISS,,,,,,,,,,"no LPS (post_lps_spread=12, drop_pct(0.013)=6)"
GRDN,2026-02-02,HIT,-7,S,LPS,87.8,30.65,23,0.098,14,2,
