Ticker,Added,Result,Offset,Tier,Setup,Score,Price,BaseLen,BoxW,Touches,LPSLen,Reason
DIBS,2026-04-14,HIT,-4,S,LPS,113.3,5.49,49,0.08,43,2,
ALB,2026-04-13,HIT,-3,S,LPS,105.3,173.64,40,0.166,21,3,
DLX,2026-04-13,HIT,-6,S,LPS,105.6,27.54,21,0.055,13,2,
CAPR,2026-04-13,MISS,,,,,,,,,,no consolidation base found
NKTR,2026-04-13,HIT,-4,S,LPS,102.6,77.85,33,0.173,20,2,
SILC,2026-04-13,MISS,,,,,,,,,,Vol50 43220 < 50000
ORMP,2026-04-13,HIT,-5,S,LPS,109.9,3.48,51,0.101,44,3,
MSGS,2026-04-08,HIT,1,S,LPS,98.7,322.2,22,0.043,24,2,
DNTH,2026-04-08,MISS,,,,,,,,,,no consolidation base found
LPTH,2026-04-08,HIT,0,S,LPS,94.2,11.58,38,0.202,28,2,
SKYT,2026-04-08,MISS,,,,,,,,,,below SMA50 (28.78 < 28.86)
CTRI,2026-04-07,HIT,-5,S,LPS,86.9,29.83,41,0.193,13,2,
KEYS,2026-04-07,MISS,,,,,,,,,,no LPS (shape_up_march=24)
PKE,2026-04-06,MISS,,,,,,,,,,no LPS (shape_up_march=24)
BRZU,2026-03-31,MISS,,,,,,,,,,"no LPS (shape_up_march=21, spread_decline=3)"
RRBI,2026-03-31,MISS,,,,,,,,,,"no LPS (shape_up_march=14, vol_contraction=6)"
DSGN,2026-03-31,HIT,-1,S,LPS,103.5,10.37,41,0.094,45,3,
PGC,2026-03-30,HIT,-4,S,LPS,92.8,34.83,29,0.062,24,2,
EQIX,2026-03-30,HIT,0,S,LPS,89.0,964.05,32,0.089,13,3,
EWTX,2026-03-24,HIT,2,S,LPS,94.3,31.65,29,0.11,19,2,
NBR,2026-03-23,MISS,,,,,,,,,,no LPS (shape_up_march=24)
NGL,2026-03-20,HIT,-1,S,REBOUND,107.4,11.65,28,0.093,14,2,
NVMI,2026-03-18,HIT,-1,S,LPS,90.1,445.52,18,0.081,13,2,
NE,2026-03-13,MISS,,,,,,,,,,no consolidation base found
WDC,2026-03-13,HIT,0,S,LPS,92.5,272.29,28,0.137,22,2,
BWAY,2026-03-11,HIT,-1,S,LPS,92.0,12.71,40,0.133,26,4,
KALV,2026-03-09,HIT,-7,S,LPS,98.9,16.06,46,0.099,41,4,
SNDX,2026-03-06,MISS,,,,,,,,,,"no LPS (shape_up_march=17, spread_quantile=6)"
BP,2026-03-05,HIT,-6,A,LPS,78.9,38.86,21,0.043,15,4,
VIST,2026-03-05,HIT,-6,B,LPS,62.6,57.74,16,0.059,13,3,
MEOH,2026-02-27,HIT,-1,S,LPS,90.1,48.28,23,0.062,20,2,
VLO,2026-02-26,MISS,,,,,,,,,,no consolidation base found
PKE,2026-02-24,HIT,-7,A,REBOUND,84.1,23.74,14,0.095,8,2,
DRTS,2026-02-24,HIT,-1,S,LPS,89.4,7.31,17,0.132,16,4,
TERN,2026-02-23,HIT,-3,S,LPS,103.0,39.23,28,0.148,20,3,
FOSL,2026-02-18,HIT,-1,S,LPS,104.3,3.83,35,0.136,35,2,
SHEL,2026-02-18,MISS,,,,,,,,,,"no LPS (shape_up_march=18, spread_decline=4)"
JAZZ,2026-02-18,HIT,0,S,LPS,96.4,168.72,51,0.043,46,2,
CGON,2026-02-17,HIT,-4,S,REBOUND,95.5,51.5,25,0.113,19,3,
SYRE,2026-02-12,HIT,0,S,LPS,86.1,34.84,21,0.082,27,3,
GXO,2026-02-11,MISS,,,,,,,,,,no consolidation base found
ST,2026-02-11,MISS,,,,,,,,,,"no LPS (shape_up_march=18, spread_quantile=4)"
TRS,2026-02-06,MISS,,,,,,,,,,"no LPS (shape_up_march=19, post_lps_spread=4)"
GRDN,2026-02-02,HIT,-3,A,LPS,83.0,30.2,27,0.098,16,2,
