Ticker,Setup,Score,Current Price,Trigger Price,Base Len,Box Width,Touches,ATR Ratio,LPS Length
MATX,LPS,86.1,171.27,174.45,145d,5.8%,8,113.1%,2d
OPLN,LPS,83.3,29.69,30.66,147d,3.7%,17,107.2%,3d
NEE,LPS,82.9,94.08,96.21,144d,8.0%,13,100.2%,2d
FLR,LPS,81.8,49.21,50.8,148d,8.8%,14,109.9%,3d
RNST,LPS,79.7,39.4,40.15,132d,5.6%,17,95.0%,3d
DAL,LPS,76.7,67.82,69.14,129d,6.7%,14,107.3%,2d
WELL,LPS,75.9,207.59,210.82,147d,15.6%,12,105.7%,2d
SPHR,LPS,75.6,128.4,131.76,54d,13.8%,7,135.6%,2d
RWT,LPS,75.2,5.93,5.99,148d,6.5%,20,104.3%,2d
EZPW,LPS,75.1,28.69,28.87,49d,10.8%,8,118.8%,2d
EBAY,LPS,72.9,95.4,97.25,147d,7.0%,20,101.3%,2d
SIG,LPS,71.7,93.63,94.49,148d,9.7%,16,112.4%,2d
ARWR,LPS,70.2,65.14,66.52,68d,9.1%,9,102.7%,2d
PFG,LPS,69.7,91.8,94.5,148d,5.8%,16,105.3%,2d
MCRI,LPS,69.6,98.33,102.86,147d,5.0%,15,119.7%,3d
BWXT,LPS,68.1,229.57,237.9,133d,15.8%,14,126.8%,2d
DD,LPS,67.1,47.25,48.22,145d,7.9%,9,114.9%,2d
KMT,LPS,66.6,38.85,39.49,31d,18.9%,4,122.7%,2d
ROIV,LPS,66.2,28.21,28.78,70d,7.2%,8,121.9%,2d
NATL,LPS,65.9,44.2,44.8,148d,4.0%,13,81.7%,3d
PDFS,LPS,64.8,38.83,39.07,147d,14.0%,10,122.4%,2d
XNCR,LPS,63.7,12.42,12.61,100d,14.3%,9,98.5%,2d
ALLY,LPS,62.6,41.27,41.98,148d,14.8%,16,102.2%,2d
PRIM,LPS,62.5,161.14,165.35,133d,15.2%,14,119.7%,2d
MD,LPS,62.4,21.45,22.19,146d,7.1%,13,98.5%,3d
GS,LPS,62.2,907.8,918.12,148d,4.7%,14,107.0%,3d
HAFC,LPS,62.1,28.0,28.29,148d,10.8%,15,87.7%,2d
MAC,BREAKOUT,62.0,21.42,19.13,148d,8.1%,16,110.7%,-
ST,LPS,61.6,38.95,39.44,147d,8.0%,18,118.3%,2d
VSAT,LPS,61.6,56.25,57.25,45d,14.6%,6,134.4%,2d
SMTC,BREAKOUT,61.2,85.22,76.12,148d,9.5%,10,125.1%,-
PIPR,LPS,61.0,83.47,83.8,147d,14.6%,15,104.5%,2d
CYTK,LPS,60.6,65.01,65.67,144d,9.8%,25,101.5%,2d
FLG,LPS,60.5,14.04,14.23,148d,6.8%,17,97.7%,2d
ENTG,LPS,60.3,135.32,136.68,127d,12.8%,10,113.3%,2d
NOV,LPS,59.0,19.49,19.84,143d,7.4%,10,107.3%,2d
NSSC,LPS,57.9,42.75,42.86,139d,6.9%,24,103.8%,2d
KNX,LPS,57.1,61.8,63.5,145d,12.8%,9,108.1%,5d
ABCB,LPS,55.6,82.86,84.03,148d,4.2%,24,90.6%,2d
NGVT,LPS,55.4,75.25,75.89,144d,7.4%,10,106.8%,2d
ADM,LPS,55.3,69.73,72.66,147d,8.6%,15,116.0%,2d
INVX,LPS,55.3,26.51,26.55,146d,7.1%,13,106.2%,2d
ZION,LPS,55.0,61.05,62.17,148d,6.8%,14,100.6%,2d
ALB,LPS,54.5,173.64,181.57,146d,11.2%,10,112.3%,2d
OSW,LPS,53.6,24.37,24.91,146d,14.1%,13,107.6%,2d
SRE,LPS,52.2,98.82,101.04,144d,4.9%,22,103.7%,2d
GAP,LPS,51.8,26.3,26.67,141d,10.3%,10,99.7%,2d
FULT,LPS,51.5,21.54,21.92,148d,8.7%,12,101.7%,3d
DGII,LPS,50.8,53.85,54.67,144d,8.8%,12,107.9%,2d
AEIS,LPS,50.4,379.64,385.97,70d,18.3%,6,138.8%,2d
DCOM,LPS,49.3,36.09,36.59,147d,4.2%,9,92.6%,2d
CATY,LPS,48.7,53.47,54.14,148d,4.4%,22,91.1%,2d
HTH,LPS,48.7,37.65,38.3,148d,1.9%,21,88.2%,2d
CVBF,LPS,47.6,20.58,20.8,148d,3.2%,23,96.8%,2d
ANET,LPS,47.2,147.35,149.34,145d,12.5%,14,104.9%,2d
TR,LPS,46.7,44.23,45.06,143d,19.0%,14,110.4%,2d
SBSI,LPS,46.1,33.0,33.43,147d,6.3%,17,95.7%,2d
AA,LPS,46.1,73.03,75.7,148d,18.6%,13,122.7%,2d
ITT,LPS,46.0,216.9,218.99,148d,9.7%,16,119.6%,5d
TCBI,LPS,43.8,100.79,101.95,147d,6.2%,15,93.0%,3d
CRS,LPS,43.8,435.3,442.88,96d,11.3%,9,129.4%,2d
STLD,LPS,43.7,190.57,194.59,147d,5.7%,10,104.2%,2d
MRK,LPS,43.3,121.42,124.0,59d,7.1%,8,100.6%,2d
DLX,LPS,40.6,28.11,28.6,141d,6.1%,11,103.8%,2d
ON,LPS,40.4,68.65,70.11,76d,7.3%,10,114.0%,2d
FFBC,LPS,39.9,29.39,29.94,133d,4.5%,12,91.4%,2d
RMBS,LPS,38.8,110.44,112.74,148d,9.5%,16,100.8%,2d
MATW,LPS,38.6,27.22,27.3,145d,0.5%,14,95.0%,2d
MTSI,LPS,38.1,258.11,262.08,129d,10.0%,7,131.3%,2d
FBP,LPS,37.3,22.64,23.03,148d,6.2%,21,93.2%,2d
ORA,LPS,37.1,115.22,117.33,148d,7.8%,15,97.0%,2d
AZZ,LPS,37.0,137.19,137.97,121d,7.1%,11,114.6%,2d
AUB,LPS,36.7,38.03,38.86,148d,5.5%,22,98.6%,2d
MS,LPS,36.1,177.64,179.0,148d,7.5%,19,110.1%,2d
