Ticker,Tier,Setup,Score,Current Price,Base Len,Box Width,Touches,ATR Ratio,LPS Length,Breach Days
NXDT,S,LPS,125.8,5.14,59,0.145064523666139,30,1.0241782076702628,2,10
CTRN,S,LPS,125.5,47.58,81,0.19136101756684717,32,0.9550782018701828,2,8
NHC,S,LPS,123.9,171.66,59,0.11505240693472812,32,1.1927831905608461,4,7
WNEB,S,LPS,123.5,14.16,98,0.1415711849166485,29,1.028242894593637,2,16
TTE,S,LPS,122.7,88.76,27,0.05056303726873184,17,1.2213718135490783,2,4
DBD,S,LPS,122.4,79.58,50,0.17061673317052356,25,1.3474514599031753,2,6
CGON,S,LPS,121.7,67.54,37,0.10429935217571079,26,1.056311665026863,3,6
SIFY,S,LPS,121.0,15.74,76,0.1998486249582993,34,0.9481656425820938,5,8
BG,S,LPS,121.0,124.67,37,0.1008655756809246,19,1.1140425386396673,2,3
MBIN,S,LPS,119.7,46.54,63,0.17404982421344017,26,1.1676602694724139,5,11
RDNW,S,LPS,118.6,7.18,29,0.14856226746572182,22,1.016746166442227,2,1
CAPR,S,LPS,117.2,33.62,42,0.2407345075752417,18,1.060582832326589,2,5
NAT,S,LPS,116.0,5.84,22,0.13711152262653423,12,1.1703694737367931,2,1
GM,S,LPS,115.9,78.71,46,0.10056425729345696,24,1.0766283478979803,2,3
UAN,S,LPS,115.7,129.01,35,0.1304132130520403,22,1.09470319270644,2,1
RELL,S,LPS,115.4,14.98,21,0.1346153846153846,12,1.0671878577618616,2,2
IMO,S,LPS,115.4,126.5,33,0.09330595983861653,17,1.0440048485517277,2,1
PYPD,S,LPS,115.0,4.4,83,0.17772512731948237,39,0.9826504754500507,3,12
VALE,S,LPS,114.2,16.14,51,0.20300753546113737,14,1.0644037484343194,4,5
AD,S,LPS,112.4,49.47,74,0.09759026299960093,23,1.0403515968126205,5,5
NNI,S,LPS,112.3,141.55,171,0.09250632344021653,46,1.0403012977604933,2,28
AXG,S,LPS,110.1,3.67,54,0.2090909294517247,13,0.8518235698289951,2,3
CHCO,S,LPS,109.7,123.32,212,0.07149247438039236,114,1.1042696420102993,2,39
NE,S,REBOUND,109.3,48.28,28,0.07054378616423829,21,1.2047913989121468,2,4
ISTR,S,LPS,109.3,28.44,50,0.11390976467938844,20,1.0490564940308023,2,2
NVRI,S,REBOUND,109.2,19.14,19,0.028213214877080645,24,0.8995357586851962,2,0
DTM,S,LPS,109.0,143.8,37,0.05740060498296403,33,1.3173002131675058,2,2
DLTH,S,LPS,108.8,3.3,22,0.14790998510075484,13,1.082672964589074,2,3
KZR,S,LPS,108.3,7.38,50,0.12030070713156926,21,0.7551635413323412,6,9
ORRF,S,LPS,108.1,36.97,101,0.10287363289755536,46,1.0604071893431217,2,16
BBVA,S,LPS,107.8,22.03,53,0.16967323197724246,23,1.0150524387236388,3,2
AAMI,S,LPS,107.4,67.29,15,0.049165308546457016,17,1.1847283134220938,2,1
OII,S,LPS,107.1,36.64,38,0.14473287567837548,22,1.244971050209975,2,4
OSK,S,LPS,106.9,154.35,42,0.14512203638509857,13,1.1039820382120227,3,0
AVR,S,LPS,106.7,6.45,21,0.2206661444078434,6,0.8955497598215612,2,0
WMT,S,LPS,106.6,129.82,48,0.05862525829395663,24,1.037454573675522,3,7
TBPH,S,LPS,106.4,16.76,22,0.04626773857861689,20,0.6936673532956938,2,1
SFNC,S,LPS,106.3,21.47,76,0.1393269668292106,29,1.0203824869262008,2,14
BKU,S,LPS,106.1,47.48,21,0.03213838363628034,22,0.984641080349201,2,3
SLDE,S,LPS,105.2,18.84,101,0.16977721801327084,38,0.9812470374005221,2,17
PAG,S,LPS,105.1,170.25,136,0.13156338453621805,30,1.2560290083740406,2,17
UNIT,S,REBOUND,104.7,11.31,13,0.06892008988149906,10,1.1017542930302515,2,0
NSC,S,LPS,104.6,316.97,69,0.13152658883521914,29,1.1393349670650268,3,3
LECO,S,LPS,104.5,271.64,38,0.07737852956965074,19,1.046243750024427,2,6
CGEM,S,LPS,104.3,14.43,31,0.16706252078847647,19,0.9412315741242806,2,5
TDF,S,LPS,104.3,11.5,170,0.07657668209708535,78,1.1184385753061752,2,30
FFIC,S,LPS,103.4,16.08,21,0.0505458160345701,13,0.9337913457328685,2,1
SFST,S,LPS,102.9,57.02,25,0.10371603983223796,12,1.0948971564975023,2,0
AHR,S,LPS,102.6,50.02,71,0.17018189098180905,21,1.063630457528522,3,1
NBHC,S,LPS,101.7,42.88,74,0.10789129378416902,23,0.9573099106057457,7,11
NEE,S,LPS,101.5,93.52,43,0.0534300148800849,26,1.2282603628857052,2,7
ATEN,S,LPS,101.2,26.9,15,0.08336494178936626,9,1.5251548546309328,2,2
SHG,S,LPS,101.1,68.0,17,0.06804276520515547,7,1.0017860150638693,2,0
HIFS,S,LPS,100.9,289.5,152,0.19969171625117066,49,0.8799483948244904,7,28
PAGP,S,LPS,100.6,23.66,51,0.1014225939576966,14,1.063783878092427,2,9
DK,S,LPS,100.5,44.56,45,0.15446755317663866,27,1.1348271175621543,2,7
ASGI,S,LPS,100.1,24.12,71,0.19255519200538526,7,0.897061353451269,3,0
MCB,S,LPS,100.0,90.37,18,0.044120119032376906,19,0.9169056956953001,2,2
CHRD,S,LPS,99.9,137.3,33,0.17170601021870288,11,1.1980437621408044,2,1
CVI,S,LPS,99.9,32.15,26,0.09614128650727977,21,1.106594178849195,2,4
TTC,S,LPS,99.9,95.75,34,0.05435731568064549,24,0.9971453687348981,2,5
MSIF,S,LPS,99.6,12.88,64,0.08279750445483847,39,1.0057425661441048,3,8
CYCN,S,LPS,99.5,3.14,22,0.2114695916325503,21,1.1459819168718985,2,2
THW,S,LPS,99.3,12.8,90,0.05408435163486397,47,1.133657202240441,3,17
ALLY,S,LPS,98.9,43.35,117,0.24367945158482016,26,0.9787092696688976,6,9
LYB,S,LPS,98.8,72.06,42,0.20535992898885796,12,1.0836893305845687,2,7
SNDR,S,LPS,98.8,30.67,68,0.24651646539095642,15,1.0070834203236765,2,12
CHT,S,LPS,98.7,43.58,54,0.04229030108918715,32,0.9395796532409549,7,4
EMA,S,LPS,98.7,52.22,47,0.06858267332835083,13,0.9838768208743758,3,0
CAC,S,LPS,98.4,48.81,70,0.14143422100148015,30,1.162960504181892,2,4
HTB,S,LPS,98.0,46.28,74,0.11291496686461318,34,1.0204737199322627,7,2
AEG,S,LPS,97.7,8.24,182,0.09905027235360225,30,0.8648606509439147,2,29
BXMT,S,LPS,97.6,19.17,109,0.07265179580316711,43,1.1260337105106157,3,16
TXT,S,LPS,97.5,92.08,35,0.05369207239077104,29,1.1613424246803858,2,3
GL,S,LPS,97.4,152.79,73,0.12767696615211135,14,1.0431453623422386,2,6
CAKE,S,LPS,97.3,60.14,68,0.14123280840381622,36,1.0982018728491414,2,9
PAA,S,LPS,97.1,22.23,43,0.06345430921149826,20,1.0795314460348524,2,6
PAGS,S,LPS,97.0,10.19,115,0.21049752945061254,22,0.8904991916885666,2,19
RTO,S,LPS,96.3,33.64,16,0.026110412360535146,15,0.9206118293489447,2,1
FANG,S,LPS,96.2,190.08,41,0.18575317722941145,10,1.0370881552417672,2,0
SOGP,S,LPS,96.1,15.42,19,0.1354712148627626,18,1.0916434761067324,2,2
EBMT,S,LPS,95.9,22.83,21,0.036574027510501234,21,1.232838312142798,2,3
FMAO,S,LPS,95.7,27.34,104,0.16162020857218667,46,0.9172583620826782,2,8
BNS,S,LPS,95.5,77.92,13,0.03805289898002888,7,1.0512985386855271,3,1
SMBK,S,LPS,95.2,42.49,21,0.0413825918322395,25,0.9846692551985111,2,1
SMFG,S,LPS,95.0,21.53,28,0.15469906138107545,4,0.9474056300496569,2,0
RFIL,S,LPS,95.0,14.92,15,0.1074627294814474,13,1.1080498854214194,4,1
PSX,S,LPS,94.9,169.91,20,0.05437001197637481,13,1.1365919299530542,2,3
GD,S,LPS,94.9,345.39,87,0.11047696426459586,21,1.2441301357309613,3,6
SMHI,S,LPS,94.6,7.49,29,0.1085714612688337,22,0.9818485719107636,2,3
UNTY,S,LPS,94.2,53.97,85,0.13595167458576274,28,0.9818095179092879,7,3
HFWA,S,LPS,94.0,27.43,21,0.05294782510066616,21,1.1469228493983903,5,1
VLY,S,LPS,93.8,13.48,14,0.04182511077489558,13,1.0800208502040336,2,1
NRC,S,LPS,93.3,18.12,30,0.06024028660460497,36,1.0142621865472499,2,5
ESQ,S,LPS,92.7,108.24,24,0.09547451036737682,18,1.1176770564566398,2,0
LYG,S,LPS,92.5,5.32,53,0.15019766036423926,16,0.9643277426037842,4,9
CVBF,S,LPS,92.4,20.49,21,0.04470112488544891,17,0.9557953062998548,2,1
EPD,S,LPS,92.4,37.55,26,0.04948335657277594,12,1.0793897903562375,2,3
NLY,S,LPS,91.9,22.26,49,0.1343355377834333,14,0.9662700613017553,4,6
FTV,S,LPS,91.7,60.26,60,0.1355284529046841,23,1.0887378922048396,3,7
UNP,S,LPS,91.3,267.17,48,0.15717250662814347,9,1.1959535771714593,3,3
AFL,S,LPS,91.3,113.12,73,0.12227234163224177,12,1.1558455346290637,2,0
