  ...prepped 500/5511
  ...prepped 1000/5511
  ...prepped 1500/5511
  ...prepped 2000/5511
  ...prepped 2500/5511
  ...prepped 3000/5511
  ...prepped 3500/5511
  ...prepped 4000/5511
  ...prepped 4500/5511
  ...prepped 5000/5511
  ...prepped 5500/5511
  1758/5511 tickers survive baseline; capturing off/on overlays with jobs=14
  ...captured 200/1758
  ...captured 400/1758
  ...captured 600/1758
  ...captured 800/1758
  ...captured 1000/1758
  ...captured 1200/1758
  ...captured 1400/1758
  ...captured 1600/1758

  faithful 2y-frame scan: 5511 tickers, 291 fire (have an overlay)
    first-reaction tighten re-anchors 100 of 291 overlays (AR pulled earlier)
    tighten (bars): max=59  median=19  total=2365

  ticker   OFF(cx,AR)       ON(cx,AR)        dAR   old_span  new_span
  ------------------------------------------------------------------
  EC       (393, 453)       (393, 394)        -59       60        1
  BCPC     (300, 360)       (300, 302)        -58       60        2
  CATO     (308, 368)       (308, 310)        -58       60        2
  NRIM     (365, 424)       (365, 366)        -58       59        1
  SFL      (404, 463)       (404, 406)        -57       59        2
  CNI      (432, 488)       (432, 433)        -55       56        1
  HTH      (412, 472)       (412, 418)        -54       60        6
  LMNR     (342, 400)       (342, 346)        -54       58        4
  OXY      (365, 424)       (365, 370)        -54       59        5
  AMH      (418, 478)       (418, 425)        -53       60        7
  INVH     (418, 478)       (418, 425)        -53       60        7
  LZB      (419, 479)       (419, 426)        -53       60        7
  TEN      (400, 458)       (400, 406)        -52       58        6
  TRU      (426, 478)       (426, 427)        -51       52        1
  ERAS     (428, 480)       (428, 430)        -50       52        2
  MBX      (406, 463)       (406, 414)        -49       57        8
  TFIN     (414, 473)       (414, 424)        -49       59       10
  BANF     (270, 325)       (270, 277)        -48       55        7
  GHRS     (413, 473)       (413, 425)        -48       60       12
  AUNA     (376, 436)       (376, 390)        -46       60       14
  AX       (331, 389)       (331, 344)        -45       58       13
  HTO      (352, 402)       (352, 361)        -41       50        9
  WY       (333, 393)       (333, 353)        -40       60       20
  EFSC     (383, 424)       (383, 386)        -38       41        3
  BFH      (414, 465)       (414, 428)        -37       51       14
  FELE     (411, 469)       (411, 432)        -37       58       21
  NOV      (325, 375)       (325, 338)        -37       50       13
  EG       (375, 410)       (375, 377)        -33       35        2
  PTHS     (442, 478)       (442, 445)        -33       36        3
  ASGI     (355, 396)       (355, 365)        -31       41       10
