
  faithful 2y-frame scan: 5533 tickers, 335 fire (have an overlay)
    first-reaction tighten re-anchors 101 of 335 overlays (AR pulled earlier)
    tighten (bars): max=59  median=35  total=3149

  ticker   OFF(cx,AR)       ON(cx,AR)        dAR   old_span  new_span
  ------------------------------------------------------------------
  ADAG     (361, 421)       (361, 362)        -59       60        1
  EC       (382, 442)       (382, 383)        -59       60        1
  WTI      (408, 468)       (408, 409)        -59       60        1
  VZ       (359, 419)       (359, 360)        -59       60        1
  CSX      (416, 475)       (416, 417)        -58       59        1
  HSTM     (424, 483)       (424, 425)        -58       59        1
  SPNT     (396, 456)       (396, 398)        -58       60        2
  GFL      (407, 467)       (407, 410)        -57       60        3
  UBER     (311, 370)       (311, 313)        -57       59        2
  OTTR     (341, 401)       (341, 345)        -56       60        4
  QSR      (377, 436)       (377, 380)        -56       59        3
  FTI      (422, 480)       (422, 425)        -55       58        3
  SHOO     (430, 487)       (430, 432)        -55       57        2
  OXY      (354, 413)       (354, 359)        -54       59        5
  KEX      (388, 445)       (388, 393)        -52       57        5
  UFCS     (412, 472)       (412, 420)        -52       60        8
  YPF      (414, 474)       (414, 422)        -52       60        8
  DFIN     (415, 475)       (415, 425)        -50       60       10
  HELE     (431, 482)       (431, 432)        -50       51        1
  MGY      (425, 477)       (425, 427)        -50       52        2
  DE       (341, 394)       (341, 345)        -49       53        4
  TFX      (369, 427)       (369, 378)        -49       58        9
  AOD      (379, 429)       (379, 381)        -48       50        2
  GHRS     (417, 474)       (417, 426)        -48       57        9
  NEOG     (433, 489)       (433, 441)        -48       56        8
  LCUT     (427, 475)       (427, 428)        -47       48        1
  MAIN     (358, 411)       (358, 364)        -47       53        6
  PLUS     (364, 412)       (364, 365)        -47       48        1
  TTRX     (149, 208)       (149, 161)        -47       59       12
  AUPH     (286, 345)       (286, 299)        -46       59       13
  CQP      (366, 424)       (366, 378)        -46       58       12
  IRON     (435, 489)       (435, 443)        -46       54        8
  UMH      (375, 423)       (375, 378)        -45       48        3
  IMVT     (403, 461)       (403, 417)        -44       58       14
  CBL      (405, 465)       (405, 422)        -43       60       17
  DCTH     (445, 492)       (445, 449)        -43       47        4
  LMNR     (382, 428)       (382, 385)        -43       46        3
  PACS     (429, 475)       (429, 432)        -43       46        3
  XOM      (436, 480)       (436, 437)        -43       44        1
  ACA      (435, 483)       (435, 441)        -42       48        6
  BALL     (413, 466)       (413, 425)        -41       53       12
  JACK     (433, 484)       (433, 443)        -41       51       10
  NBBK     (433, 481)       (433, 440)        -41       48        7
  NCZ      (400, 444)       (400, 404)        -40       44        4
  RCKY     (431, 483)       (431, 444)        -39       52       13
  AVTX     (421, 463)       (421, 425)        -38       42        4
  DNLI     (435, 480)       (435, 442)        -38       45        7
  ARLP     (422, 466)       (422, 429)        -37       44        7
  CVX      (435, 479)       (435, 442)        -37       44        7
  RYAM     (376, 414)       (376, 377)        -37       38        1
  SPB      (437, 475)       (437, 440)        -35       38        3
  VTRS     (405, 463)       (405, 428)        -35       58       23
  HOPE     (364, 409)       (364, 375)        -34       45       11
  MEOH     (425, 483)       (425, 449)        -34       58       24
  DHR      (433, 481)       (433, 449)        -32       48       16
  NNBR     (435, 476)       (435, 444)        -32       41        9
  RMBI     (135, 168)       (135, 136)        -32       33        1
  BGY      (400, 444)       (400, 414)        -30       44       14
  PDX      (398, 433)       (398, 403)        -30       35        5
  HAS      (372, 432)       (372, 403)        -29       60       31
